F1,Artist,Url_spotify,Track,Url_youtube,Views,official_video,Spotify_Available,Stream
0,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Feel Good Inc.,https://www.youtube.com/watch?v=HyHNuVaZJ-k,693555221,True,1,1040234854
1,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Rhinestone Eyes,https://www.youtube.com/watch?v=yYDmaexVHic,72011645,True,1,310083733
2,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,New Gold (feat. Tame Impala and Bootie Brown),https://www.youtube.com/watch?v=qJa-VFwPpYA,8435055,True,1,63063467
3,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,On Melancholy Hill,https://www.youtube.com/watch?v=04mfKJWDSzI,211754952,True,1,434663559
4,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Clint Eastwood,https://www.youtube.com/watch?v=1V_xRb0x9aw,618480958,True,1,617259738
5,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,DARE,https://www.youtube.com/watch?v=uAOR6ib95kQ,259021161,True,1,323850327
6,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,https://www.youtube.com/watch?v=BONNm0F7Tto,451996,True,1,10666154
7,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,She's My Collar (feat. Kali Uchis),https://www.youtube.com/watch?v=f8NwLXYIHS4,1010982,False,1,159605929
8,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Cracker Island (feat. Thundercat),https://www.youtube.com/watch?v=S03T47hapAc,24459820,True,1,42671901
9,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Dirty Harry,https://www.youtube.com/watch?v=cLnkQAeMbIM,154761056,True,1,191074713
10,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Californication,https://www.youtube.com/watch?v=YlUKcNNmywk,1018811259,True,1,1055738398
11,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Under the Bridge,https://www.youtube.com/watch?v=GLvohMXgcBo,246687714,True,1,1061750522
12,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Can't Stop,https://www.youtube.com/watch?v=8DyziWtkfBw,336635759,True,1,866464951
13,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Scar Tissue,https://www.youtube.com/watch?v=mzJj5-lubeM,435121530,True,1,613838674
14,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Otherside,https://www.youtube.com/watch?v=rn_YodiJO6k,673528656,True,1,732774515
15,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Snow (Hey Oh),https://www.youtube.com/watch?v=yuFI5KSPAt4,320871237,True,1,860722316
16,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Dani California,https://www.youtube.com/watch?v=Sb5aq5HcS1A,324228662,True,1,550067391
17,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,By the Way,https://www.youtube.com/watch?v=JnfyjwChuNU,179005296,True,1,367485508
18,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Give It Away,https://www.youtube.com/watch?v=Mr_uHJPUlO8,86637926,True,1,301947159
19,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Dark Necessities,https://www.youtube.com/watch?v=Q0oIoR9mLwc,440037964,True,1,385677873
20,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,In Da Club,https://www.youtube.com/watch?v=5qm8PH4xAss,1682616458,True,1,1041736808
21,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Candy Shop,https://www.youtube.com/watch?v=SRcnnId15BA,838974650,True,1,701248893
