F1,Danceability,Energy,Loudness,Liveness,Valence,Views,Likes,Stream
0,0.818,0.705,-6.679,0.613,0.772,693555221,6220896,1040234854
1,0.676,0.703,-5.815,0.0463,0.852,72011645,1079128,310083733
2,0.695,0.923,-3.93,0.116,0.551,8435055,282142,63063467
3,0.689,0.739,-5.81,0.064,0.578,211754952,1788577,434663559
4,0.663,0.694,-8.627,0.0698,0.525,618480958,6197318,617259738
5,0.76,0.891,-5.852,0.298,0.966,259021161,1844658,323850327
6,0.716,0.897,-7.185,0.325,0.358,451996,11686,10666154
7,0.726,0.815,-5.886,0.112,0.462,1010982,17675,159605929
8,0.741,0.913,-3.34,0.325,0.643,24459820,739527,42671901
9,0.625,0.877,-7.176,0.672,0.865,154761056,1386920,191074713
10,0.592,0.767,-2.788,0.127,0.328,1018811259,4394471,1055738398
11,0.559,0.345,-13.496,0.141,0.458,246687714,1213572,1061750522
12,0.618,0.938,-3.442,0.167,0.875,336635759,1740224,866464951
13,0.595,0.717,-4.803,0.108,0.547,435121530,1890900,613838674
14,0.458,0.795,-3.265,0.0756,0.513,673528656,3140356,732774515
15,0.427,0.9,-3.674,0.119,0.599,320871237,1272266,860722316
16,0.556,0.913,-2.36,0.346,0.73,324228662,1456622,550067391
17,0.451,0.97,-4.938,0.102,0.198,179005296,784717,367485508
18,0.666,0.936,-9.919,0.153,0.776,86637926,434837,301947159
19,0.7,0.742,-6.777,0.11,0.197,440037964,2094182,385677873
20,0.902,0.72,-2.776,0.0749,0.805,1682616458,10481678,1041736808
21,0.614,0.574,-7.961,0.38,0.755,838974650,5014527,701248893
22,0.489,0.692,-6.672,0.315,0.527,476133463,2523312,395155110
23,0.7,0.758,-3.012,0.0401,0.889,572659065,3334710,541728561
24,0.653,0.826,-2.93,0.131,0.416,441155628,2765887,332175400
25,0.925,0.659,-4.763,0.279,0.71,39825951,382791,202477187
26,0.576,0.807,-3.908,0.0512,0.908,503248572,2759199,446003044
27,0.853,0.776,-4.221,0.181,0.659,5289821,245935,28529840
28,0.892,0.631,-2.522,0.0235,0.838,46096,612,210473579
29,0.545,0.64,-3.529,0.111,0.574,291023,5729,160037992
33,0.511,0.972,-3.751,0.19,0.532,107553434,429797,327681785
37,0.386,0.996,-2.96,0.116,0.188,14937918,473751,20061385
39,0.425,0.972,-3.448,0.239,0.282,4317758,217109,3905429
40,0.429,0.661,-7.227,0.234,0.285,832532409,4600933,1483622308
41,0.486,0.617,-7.115,0.109,0.417,789581468,4370461,1325575712
42,0.371,0.268,-10.506,0.104,0.165,73201019,787343,475353044
43,0.617,0.635,-6.769,0.164,0.446,2118018686,10282499,2030825694
44,0.557,0.442,-7.224,0.11,0.213,1082588109,5532787,1465980600
45,0.545,0.675,-6.474,0.209,0.162,786404613,3741300,1021782403
46,0.449,0.585,-6.761,0.0833,0.212,1665814269,8497224,927288329
47,0.491,0.693,-6.487,0.325,0.412,1828242112,13515772,1049654852
48,0.573,0.711,-6.268,0.328,0.47,254655970,8867547,883224238
49,0.209,0.417,-8.74,0.113,0.124,566239229,2962029,1115171056
50,0.794,0.811,-8.966,0.101,0.862,32310867,956073,844698895
