F1,Url_spotify,Track,Url_youtube,Title,Views,Likes,Stream
0,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Feel Good Inc.,https://www.youtube.com/watch?v=HyHNuVaZJ-k,Gorillaz - Feel Good Inc. (Official Video),693555221,6220896,1040234854
1,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Rhinestone Eyes,https://www.youtube.com/watch?v=yYDmaexVHic,Gorillaz - Rhinestone Eyes [Storyboard Film] (Official Music Video),72011645,1079128,310083733
2,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,New Gold (feat. Tame Impala and Bootie Brown),https://www.youtube.com/watch?v=qJa-VFwPpYA,Gorillaz - New Gold ft. Tame Impala & Bootie Brown (Official Visualiser),8435055,282142,63063467
3,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,On Melancholy Hill,https://www.youtube.com/watch?v=04mfKJWDSzI,Gorillaz - On Melancholy Hill (Official Video),211754952,1788577,434663559
4,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Clint Eastwood,https://www.youtube.com/watch?v=1V_xRb0x9aw,Gorillaz - Clint Eastwood (Official Video),618480958,6197318,617259738
5,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,DARE,https://www.youtube.com/watch?v=uAOR6ib95kQ,Gorillaz - DARE (Official Video),259021161,1844658,323850327
6,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,https://www.youtube.com/watch?v=BONNm0F7Tto,"Gorillaz - New Gold ft. Tame Impala, Bootie Brown (Dom Dolla Remix) (Official Live Video)",451996,11686,10666154
7,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,She's My Collar (feat. Kali Uchis),https://www.youtube.com/watch?v=f8NwLXYIHS4,Gorillaz - She's My Collar [HQ],1010982,17675,159605929
8,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Cracker Island (feat. Thundercat),https://www.youtube.com/watch?v=S03T47hapAc,Gorillaz - Cracker Island ft. Thundercat (Official Video),24459820,739527,42671901
9,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Dirty Harry,https://www.youtube.com/watch?v=cLnkQAeMbIM,Gorillaz - Dirty Harry (Official Video),154761056,1386920,191074713
10,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Californication,https://www.youtube.com/watch?v=YlUKcNNmywk,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],1018811259,4394471,1055738398
11,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Under the Bridge,https://www.youtube.com/watch?v=GLvohMXgcBo,Red Hot Chili Peppers - Under The Bridge [Official Music Video],246687714,1213572,1061750522
12,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Can't Stop,https://www.youtube.com/watch?v=8DyziWtkfBw,Red Hot Chili Peppers - Can't Stop [Official Music Video],336635759,1740224,866464951
13,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Scar Tissue,https://www.youtube.com/watch?v=mzJj5-lubeM,Red Hot Chili Peppers - Scar Tissue [Official Music Video],435121530,1890900,613838674
14,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Otherside,https://www.youtube.com/watch?v=rn_YodiJO6k,Red Hot Chili Peppers - Otherside [Official Music Video],673528656,3140356,732774515
15,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Snow (Hey Oh),https://www.youtube.com/watch?v=yuFI5KSPAt4,Red Hot Chili Peppers - Snow (Hey Oh) (Official Music Video),320871237,1272266,860722316
16,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Dani California,https://www.youtube.com/watch?v=Sb5aq5HcS1A,Red Hot Chili Peppers - Dani California [Official Music Video],324228662,1456622,550067391
17,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,By the Way,https://www.youtube.com/watch?v=JnfyjwChuNU,Red Hot Chili Peppers - By The Way [Official Music Video],179005296,784717,367485508
18,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Give It Away,https://www.youtube.com/watch?v=Mr_uHJPUlO8,Red Hot Chili Peppers - Give It Away [Official Music Video],86637926,434837,301947159
19,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Dark Necessities,https://www.youtube.com/watch?v=Q0oIoR9mLwc,Red Hot Chili Peppers - Dark Necessities [Official Music Video],440037964,2094182,385677873
20,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,In Da Club,https://www.youtube.com/watch?v=5qm8PH4xAss,50 Cent - In Da Club (Official Music Video),1682616458,10481678,1041736808
21,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Candy Shop,https://www.youtube.com/watch?v=SRcnnId15BA,50 Cent - Candy Shop (Official Music Video) ft. Olivia,838974650,5014527,701248893
22,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Just A Lil Bit,https://www.youtube.com/watch?v=GllEDACUbNo,50 Cent - Just A Lil Bit,476133463,2523312,395155110
23,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,P.I.M.P.,https://www.youtube.com/watch?v=UDApZhXTpH8,"50 Cent - P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit",572659065,3334710,541728561
24,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Many Men (Wish Death),https://www.youtube.com/watch?v=5D3crqpClPY,50 Cent - Many Men (Wish Death) (Dirty Version),441155628,2765887,332175400
25,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Disco Inferno,https://www.youtube.com/watch?v=GNqYWkiBHHw,50 Cent - Disco Inferno (Official Music Video),39825951,382791,202477187
26,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,21 Questions,https://www.youtube.com/watch?v=cDMhlvbOFaM,50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg,503248572,2759199,446003044
27,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Is This Love ('09) (feat. 50 Cent),https://www.youtube.com/watch?v=Zl64MRAqQxk,"Eminem, 50 Cent - Is This Love ('09) [Visualizer]",5289821,245935,28529840
28,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,If I Can't,https://www.youtube.com/watch?v=_vUC0-V2k1E,50 Cent - If I Can't (Official Music Video),46096,612,210473579
29,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Best Friend - Remix,https://www.youtube.com/watch?v=UQNLDwQYDDg,50 Cent-Best Friend(Remix),291023,5729,160037992
30,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Enter Sandman (Remastered),https://www.youtube.com/watch?v=CD-E-LDc384,Metallica: Enter Sandman (Official Music Video),573553706,2828795,
31,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Nothing Else Matters (Remastered),https://www.youtube.com/watch?v=tAGnKpE4NCI,Metallica: Nothing Else Matters (Official Music Video),1209806093,5127599,
32,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Master of Puppets (Remastered),https://www.youtube.com/watch?v=E0ozmU9cJDg,Master of Puppets (Remastered),20762910,293409,
33,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Whiskey In The Jar,https://www.youtube.com/watch?v=wsrvmNtWU4E,Metallica - Whiskey In The Jar (Official Music Video),107553434,429797,327681785
